id,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre
141,1920,The Mysterious Affair at Styles,"Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…",eng,Intermediate,3.98,135514,genre fiction
142,1934,Murder in the Calais Coach,Agatha Christie,eng,Intermediate,4.16,138444,genre fiction
143,2013,Americanah,Chimamanda Ngozi Adichie,eng,Intermediate,4.26,113252,genre fiction
144,2001,Suzanne's Diary for Nicholas,James Patterson,eng,Intermediate,4.16,121398,genre fiction
145,1980,Firestarter,Stephen King,eng,Intermediate,3.85,142213,genre fiction
146,2013,Entwined with You,Sylvia Day,eng,Intermediate,4.19,141641,genre fiction
147,2009,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,eng,Intermediate,4.27,109642,genre fiction
148,2014,The Storied Life of A.J. Fikry,Gabrielle Zevin,eng,Intermediate,3.98,115393,genre fiction
149,1939,Mad About Madeline,Ludwig Bemelmans,en-GB,Intermediate,4.22,156726,genre fiction
150,1937,Think and Grow Rich,Napoleon Hill,eng,Intermediate,4.17,87445,genre fiction
151,1932,Little House In The Big Woods,"Laura Ingalls Wilder, Garth Williams",eng,Intermediate,4.16,165127,genre fiction
152,2004,Jonathan Strange & Mr Norrell,Susanna Clarke,eng,Intermediate,3.8,133683,genre fiction
153,2001,A Bend in the Road,Nicholas Sparks,eng,Intermediate,4.02,116800,genre fiction
154,2013,The House of Hades,Rick Riordan,eng,Famous,4.54,159774,nonfiction
155,2008,Gone,Michael  Grant,eng,Intermediate,3.85,144606,genre fiction
156,2003,The Wedding,Nicholas Sparks,en-US,Intermediate,3.98,118045,genre fiction
157,2005,1776,David McCullough,eng,Intermediate,4.06,130293,genre fiction
158,2003,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,eng,Intermediate,3.98,112167,genre fiction
159,2012,Beautiful Ruins,Jess Walter,eng,Intermediate,3.67,116053,genre fiction
160,2006,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,en-US,Intermediate,3.69,110873,genre fiction
161,1999,On Writing: A Memoir of the Craft,Stephen King,eng,Intermediate,4.31,131481,genre fiction
162,2008,Firefly Lane,Kristin Hannah,en-US,Intermediate,4.04,121966,genre fiction
163,1987,Sphere,Michael Crichton,eng,Intermediate,3.77,128244,genre fiction
164,2008,Love the One You're With,Emily Giffin,en-US,Intermediate,3.7,124812,genre fiction
165,2014,The Silkworm,"Robert Galbraith, J.K. Rowling",eng,Intermediate,4.03,120008,genre fiction
166,1985,The Vampire Lestat,Anne Rice,eng,Intermediate,4.05,141299,genre fiction
167,2011,State of Wonder,Ann Patchett,eng,Intermediate,3.85,124837,genre fiction
168,2008,The Silver Linings Playbook,Matthew Quick,en-US,Intermediate,4,110939,genre fiction
169,1869,Vingt Mille Lieues Sous les Mers,"Jules Verne, Anthony Bonner",eng,Intermediate,3.86,121112,genre fiction
