id,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
235,2025.94,1215.564,4.99,256,Random House LLC,406
236,2251.8,1351.08,5.56,257,"Amazon Digital Services,  Inc.",405
237,1007.5,604.5,2.5,258,HarperCollins Publishers,403
238,4270.65,2562.39,10.65,259,Penguin Group (USA) LLC,401
239,3180.02,1908.012,7.99,261,Penguin Group (USA) LLC,398
240,392.04,235.224,0.99,262,"Amazon Digital Services,  Inc.",396
241,392.04,235.224,0.99,262,"Amazon Digital Services,  Inc.",396
242,387.09,232.254,0.99,265,"Amazon Digital Services,  Inc.",391
243,2726.1,1635.66,6.99,266,Hachette Book Group,390
244,1154.14,692.484,2.99,268,Macmillan,386
245,766.15,459.69,1.99,269,Random House LLC,385
246,3060.17,1836.102,7.99,270,Penguin Group (USA) LLC,383
247,758.19,0,1.99,271,"Amazon Digital Services,  Inc.",381
248,3013.71,1808.226,7.91,271,"Amazon Digital Services,  Inc.",381
249,1136.2,681.72,2.99,272,Simon and Schuster Digital Sales Inc,380
250,1886.22,1131.732,4.99,273,Penguin Group (USA) LLC,378
251,1124.24,674.544,2.99,274,"Amazon Digital Services,  Inc.",376
252,371.25,0,0.99,275,"Amazon Digital Services,  Inc.",375
253,1871.25,1122.75,4.99,275,Random House LLC,375
254,1488.27,0,3.99,276,"Amazon Digital Services,  Inc.",373
255,1115.27,669.162,2.99,276,Hachette Book Group,373
256,366.3,0,0.99,278,"Amazon Digital Services,  Inc.",370
257,2775,1665,7.5,278,Hachette Book Group,370
258,1100.32,660.192,2.99,279,Random House LLC,368
259,1094.34,0,2.99,280,"Amazon Digital Services,  Inc.",366
260,4388.34,2633.004,11.99,280,Penguin Group (USA) LLC,366
261,4084.35,2450.61,11.19,281,HarperCollins Publishers,365
262,1811.37,0,4.99,282,"Amazon Digital Services,  Inc.",363
263,1085.37,651.222,2.99,282,"Amazon Digital Services,  Inc.",363
264,357.39,214.434,0.99,283,"Amazon Digital Services,  Inc.",361
265,1079.39,647.634,2.99,283,Penguin Group (USA) LLC,361
266,3905.78,2343.468,10.91,285,Random House LLC,358
267,1064.44,638.664,2.99,286,Macmillan,356
268,706.45,423.87,1.99,287,Simon and Schuster Digital Sales Inc,355
269,1049.49,0,2.99,289,"Amazon Digital Services,  Inc.",351
270,347.49,208.494,0.99,289,"Amazon Digital Services,  Inc.",351
271,346.5,0,0.99,290,"Amazon Digital Services,  Inc.",350
272,344.52,0,0.99,291,"Amazon Digital Services,  Inc.",348
273,1031.55,618.93,2.99,293,Simon and Schuster Digital Sales Inc,345
274,1025.57,0,2.99,294,"Amazon Digital Services,  Inc.",343
275,1019.59,0,2.99,295,"Amazon Digital Services,  Inc.",341
276,1019.59,611.754,2.99,295,Simon and Schuster Digital Sales Inc,341
277,3872.6,2323.56,11.39,296,Penguin Group (USA) LLC,340
278,1686.62,0,4.99,297,"Amazon Digital Services,  Inc.",338
279,1676.64,0,4.99,298,"Amazon Digital Services,  Inc.",336
280,666.65,399.99,1.99,299,HarperCollins Publishers,335
281,2620.72,1572.432,7.99,303,Random House LLC,328
282,2875.32,1725.192,8.82,304,Penguin Group (USA) LLC,326
283,1300.74,0,3.99,304,"Amazon Digital Services,  Inc.",326
284,2759.25,1655.55,8.49,305,HarperCollins Publishers,325
285,1611.77,967.062,4.99,306,Simon and Schuster Digital Sales Inc,323
286,2468.49,1481.094,7.69,307,Penguin Group (USA) LLC,321
287,950.82,0,2.99,309,"Amazon Digital Services,  Inc.",318
288,1576.84,0,4.99,310,"Amazon Digital Services,  Inc.",316
289,2044.35,1226.61,6.49,311,Random House LLC,315
290,1874.87,1124.922,5.99,312,Random House LLC,313
291,307.89,184.734,0.99,313,"Amazon Digital Services,  Inc.",311
292,306.9,0,0.99,314,"Amazon Digital Services,  Inc.",310
293,616.9,370.14,1.99,314,"Amazon Digital Services,  Inc.",310
294,2460.92,1476.552,7.99,315,Hachette Book Group,308
295,2152.92,1291.752,6.99,315,Penguin Group (USA) LLC,308
296,10327.3,6196.38,33.86,317,Penguin Group (USA) LLC,305
297,598.99,0,1.99,319,"Amazon Digital Services,  Inc.",301
298,1487.02,892.212,4.99,321,Random House LLC,298
299,891.02,0,2.99,321,"Amazon Digital Services,  Inc.",298
300,1181.04,0,3.99,322,"Amazon Digital Services,  Inc.",296
301,885.04,531.024,2.99,322,"Amazon Digital Services,  Inc.",296
302,1772.95,1063.77,6.01,323,HarperCollins Publishers,295
303,292.05,0,0.99,323,"Amazon Digital Services,  Inc.",295
304,290.07,0,0.99,324,"Amazon Digital Services,  Inc.",293
305,288.09,172.854,0.99,325,HarperCollins Christian Publishing,291
306,3694.6,2216.76,12.74,326,Hachette Book Group,290
307,1149.12,689.472,3.99,327,"Amazon Digital Services,  Inc.",288
308,1707.15,1024.29,5.99,329,Simon and Schuster Digital Sales Inc,285
309,427.5,0,1.5,329,"Amazon Digital Services,  Inc.",285
310,2071.56,1242.936,7.32,330,Hachette Book Group,283
311,1412.17,847.302,4.99,330,Simon and Schuster Digital Sales Inc,283
312,3650.19,2190.114,12.99,331,"Amazon Digital Services,  Inc.",281
313,1387.22,0,4.99,333,"Amazon Digital Services,  Inc.",278
314,1097.25,658.35,3.99,335,Simon and Schuster Digital Sales Inc,275
315,2618.07,1570.842,9.59,336,HarperCollins Publishers,273
316,267.3,0,0.99,338,"Amazon Digital Services,  Inc.",270
317,267.3,0,0.99,338,"Amazon Digital Services,  Inc.",270
318,263.34,0,0.99,340,"Amazon Digital Services,  Inc.",266
319,997.5,0,3.75,340,"Amazon Digital Services,  Inc.",266
320,1719.85,1031.91,6.49,341,Hachette Book Group,265
321,1877.82,1126.692,7.14,342,"Amazon Digital Services,  Inc.",263
322,1041.39,0,3.99,343,"Amazon Digital Services,  Inc.",261
323,777.4,0,2.99,344,"Amazon Digital Services,  Inc.",260
324,771.42,462.852,2.99,345,Simon and Schuster Digital Sales Inc,258
325,1527.45,916.47,5.99,347,Penguin Group (USA) LLC,255
326,997.5,0,3.99,350,"Amazon Digital Services,  Inc.",250
327,997.5,598.5,3.99,350,"Amazon Digital Services,  Inc.",250
328,246.51,147.906,0.99,351,"Amazon Digital Services,  Inc.",249
329,744.51,446.706,2.99,351,Random House LLC,249
330,1635.93,981.558,6.57,352,"Amazon Digital Services,  Inc.",249
331,3221.52,0,12.99,353,"Amazon Digital Services,  Inc.",248
332,741.52,444.912,2.99,354,HarperCollins Publishers,248
333,738.53,0,2.99,355,"Amazon Digital Services,  Inc.",247
334,1141.14,684.684,4.62,356,Penguin Group (USA) LLC,247
335,244.53,146.718,0.99,356,"Amazon Digital Services,  Inc.",247
336,1227.54,736.524,4.99,357,Simon and Schuster Digital Sales Inc,246
337,977.55,0,3.99,359,"Amazon Digital Services,  Inc.",245
338,977.55,586.53,3.99,360,"Amazon Digital Services,  Inc.",245
339,1698.57,1019.142,6.99,363,Hachette Book Group,243
340,726.57,435.942,2.99,364,"Amazon Digital Services,  Inc.",243
341,1494.45,896.67,6.15,364,"Amazon Digital Services,  Inc.",243
342,965.58,0,3.99,366,"Amazon Digital Services,  Inc.",242
343,1202.59,721.554,4.99,367,Simon and Schuster Digital Sales Inc,241
344,2566.65,1539.99,10.65,368,Hachette Book Group,241
345,1197.6,718.56,4.99,370,Simon and Schuster Digital Sales Inc,240
346,236.61,141.966,0.99,371,"Amazon Digital Services,  Inc.",239
347,953.61,0,3.99,372,"Amazon Digital Services,  Inc.",239
348,1544.62,926.772,6.49,373,Random House LLC,238
349,1419.63,851.778,5.99,375,Random House LLC,237
350,471.63,0,1.99,376,"Amazon Digital Services,  Inc.",237
351,1182.63,709.578,4.99,376,Random House LLC,237
352,708.63,0,2.99,376,"Amazon Digital Services,  Inc.",237
353,1885.64,1131.384,7.99,378,HarperCollins Christian Publishing,236
354,1642.65,985.59,6.99,380,Penguin Group (USA) LLC,235
355,933.66,560.196,3.99,381,"Amazon Digital Services,  Inc.",234
356,463.67,278.202,1.99,383,Simon and Schuster Digital Sales Inc,233
357,461.68,277.008,1.99,385,HarperCollins Publishers,6264
358,925.68,0,3.99,385,"Amazon Digital Services,  Inc.",6264
